"id";"Report_name";"Keywords"
"34";"A case of spontaneous uterine artery pseudoaneurys";"uterine artery pseudoaneurysm
pseudoaneurysm
embolization
primigravid
antepartum

"
"35";"Acute cervical transverse myelitis following intra";" transverse myelitis
rhabdomyolysis
paraplegia
polyradiculoneuropathy
leukoencephalopathy

"
"36";"Acute reversible renal failure requiring temporary";"covid-19
kidney
renal
imaging
ct
injury

"
"37";"Adrenal oligometastasis cured with stereotactic ab";" oligometastasis
adrenal metastases
radiosurgery
stereotactic body radiotherapy
sbrt
sabr

"
"38";"Aggressive intracerebral tuberculoma in a 1 year o";" central nervous system
tubercoloma
cerebral
cerebeller
mri

"
"39";"A late presentation of scimitar syndrome in adult_";" scimitar syndrome
hemoptysis
pulmonary arterial hypertension
dyspnea

"
"40";"Amphetamine induced small bowel ischemia   A case ";"amphetamine
small bowel
nonocclusive mesenteric ischemia

"
"41";"An adolescent girl in Hong Kong with type Ib Abern";" portosystemic shunt
 focal nodular hyperplasia
 abernethy malformation
ultra-sonography
associations
complications

"
"42";"Aneurysmal dilatation of colon  A rare imaging pre";"aneurysmal
dilatation
colon
adenocarcinoma
ct
imaging

"
"43";"Antegrade common femoral artery access site closur";"interventional radiology
antegrade access
vascular closure device
common femoral artery

"
"44";"A rare case of transient portal venous gas_2020_Ra";"portal venous gas
pneumoporta
pneumobilia

"
"45";"Atlantoaxial rotatory subluxation presenting as ac";"aars
torticollis
minor trauma

"
"46";"Atypical meningeal hemangiopericytoma presenting w";"hemangiopericytoma
cerebral convexity
punched-out calvarial erosion

"
"47";"Axial melorheostosis  A rare presentation_2020_Rad";"melorheostosis
sclerosing bone dysplasia
hyperostosis
cervical radiculopathy
sclerotic bone lesion

"
"48";"Bland embolization of a ruptured hepatoblastoma wi";"hepatoblastoma
rupture
transarterial embolization
chemotherapy
pediatrics

"
"49";"Brain manifestations secondary to auricular myxom_";"myxoma
auricular tumor
cancer-associated stroke
stroke

"
"50";"Brain paraneoplastic syndromes in a patient with m";"ganglioneuroma
paraneoplastic neurologic syndrome
opsoclonus-myoclonus-ataxia syndrome
anti-n-methyl-d-aspartate
receptor encephalitis

"
"51";"Bronchopleural fistula development in the setting ";"covid
pneumonia
mucormycosis
dexamethasone
remdesivir
tocilizumab

"
"52";"Cardiopulmonary resuscitation causing thoracolumba";"thoracolumbar separation
spinal cord injury
cardiopulmonary resuscitation complications
covid-19

"
